,dropout,ensemble,ll_dropout,ll_svi,svi,temp_scaling,vanilla
fashion_mnist,1.4019910991191864,1.3128348588943481,1.3850869536399841,1.3193112313747406,1.0832869410514832,1.2776279665307424,1.3993729650974274
not_mnist,1.374882996082306,1.456480085849762,1.3817131221294403,1.4158786833286285,1.1077017858624458,1.5179007620245346,1.601696252822876
roll_10,1.462127447128296,1.3957967162132263,1.457432121038437,1.4772109389305115,1.1744249612092972,1.443617486683354,1.530856430530548
roll_12,1.468695193529129,1.3511230051517487,1.4712572991847992,1.526000738143921,1.09881179779768,1.423528380087471,1.5113720297813416
roll_14,1.384550154209137,1.2655870020389557,1.4103884100914001,1.4448306262493134,1.0072444309480488,1.376035110158414,1.4614629745483398
roll_16,1.3319275081157684,1.2746781706809998,1.370438426733017,1.4205106496810913,0.9860901441425085,1.3667497425927355,1.468266248703003
roll_18,1.3264749646186829,1.312560260295868,1.329391747713089,1.3888278603553772,1.022733647376299,1.3601627018696392,1.4636533558368683
roll_2,0.07840907573699951,0.058350324630737305,0.06252771615982056,0.0712805986404419,0.14369195699691772,0.0760713820203357,0.07839858531951904
roll_20,1.2390302270650864,1.2201423794031143,1.2350736856460571,1.2664340138435364,1.0356909930706024,1.2472126832075696,1.3393595218658447
roll_22,0.9870744412764907,0.9966015960089862,0.9808556903153658,1.0001172032571048,0.9444131553173065,1.031629005438562,1.1091118231415749
roll_24,0.46380066871643066,0.5203785300254822,0.4469095468521118,0.45994138717651367,0.6305821239948273,0.5646419448130311,0.606711208820343
roll_26,0.05499380826950073,0.059103190898895264,0.05053830146789551,0.05331873893737793,0.15558892488479614,0.0761216625653901,0.07855755090713501
roll_4,0.5477629601955414,0.5387721061706543,0.516672670841217,0.5331348776817322,0.6348773539066315,0.5854239648090596,0.6343104541301727
roll_6,1.1609731316566467,1.195029377937317,1.1441911458969116,1.1800918877124786,1.0402538180351257,1.209213394290898,1.300418645143509
roll_8,1.4079281985759735,1.3924614489078522,1.4084781110286713,1.430025428533554,1.1750141233205795,1.4144511079488407,1.5080891251564026
rot_105,1.349212646484375,1.4300970435142517,1.3537769615650177,1.358435571193695,1.147888794541359,1.4325525939106134,1.5268938541412354
rot_120,1.3072584867477417,1.354764848947525,1.2963677048683167,1.3290090262889862,1.14572474360466,1.3595013589311278,1.44809952378273
rot_135,1.1946820318698883,1.2331365197896957,1.1806448251008987,1.2104037702083588,1.0815429762005806,1.2351264511963007,1.3175522983074188
rot_15,0.037898123264312744,0.03541266918182373,0.035090625286102295,0.03855419158935547,0.08940577507019043,0.04184634730902759,0.043016254901885986
rot_150,1.1015613675117493,1.1423381865024567,1.0936470702290535,1.1037575975060463,1.0234792921692133,1.1433445073767408,1.2155678868293762
rot_165,1.076973132789135,1.1112858206033707,1.0739611014723778,1.072577565908432,1.0166625250130892,1.1136911903511955,1.171608716249466
rot_180,1.0807345882058144,1.1082014665007591,1.078626736998558,1.0742377862334251,1.0189509186893702,1.1128484254506172,1.162439689040184
rot_30,0.2246609926223755,0.2223467230796814,0.21171903610229492,0.2286553978919983,0.3335801362991333,0.23878054288788353,0.25308942794799805
rot_45,0.6505431532859802,0.6965144872665405,0.6464047729969025,0.6746531128883362,0.6882400512695312,0.7031620945993953,0.7577406316995621
rot_60,1.0434981919825077,1.1352528482675552,1.0715588554739952,1.0721796452999115,0.9292580932378769,1.128604112169141,1.2151210755109787
rot_75,1.2503369450569153,1.3503251671791077,1.286479115486145,1.2540197372436523,1.0496095940470695,1.349479237441201,1.4482620358467102
rot_90,1.329477697610855,1.4277557134628296,1.3564404249191284,1.325747162103653,1.1081669256091118,1.4349783059020682,1.5342751145362854
test,0.012722194194793701,0.011838257312774658,0.013014554977416992,0.013299703598022461,0.03983736038208008,0.01442291985449129,0.014545798301696777
train,0.0011146068572998047,0.0008041262626647949,0.0012090802192687988,0.0024434328079223633,0.04284977912902832,0.002093527642085924,0.0013675093650817871
valid,0.014295876026153564,0.013438522815704346,0.014174163341522217,0.01502913236618042,0.03889232873916626,0.015679188717423687,0.01607447862625122
