dataset,method,split,traintest,coverage,width,rmse
energy,gp,4,test,0.896103896,1.083321679,2.746381464
energy,gp,5,trainval,0.903039074,1.094796645,2.63136009
energy,gp,5,test,0.922077922,1.09165853,2.234433294
energy,gp,6,trainval,0.89869754,1.085385692,2.590440221
energy,gp,6,test,0.922077922,1.088206634,2.721767592
energy,gp,7,trainval,0.900144718,1.072815638,2.581576498
energy,gp,7,test,0.909090909,1.076050414,2.861737569
energy,gp,8,trainval,0.903039074,1.094516423,2.629349925
energy,gp,8,test,0.935064935,1.098930127,2.216142224
energy,gp,9,trainval,0.89869754,1.080797235,2.589042042
energy,gp,9,test,0.909090909,1.087224145,2.718564188
energy,gp,10,trainval,0.90593343,1.062496856,2.532442265
energy,gp,10,test,0.818181818,1.061127298,3.096122107
energy,gp,11,trainval,0.903039074,1.084228028,2.612194889
energy,gp,11,test,0.896103896,1.086377062,2.453315078
energy,gp,12,trainval,0.89869754,1.068415743,2.565736694
energy,gp,12,test,0.87012987,1.067912811,2.900788679
energy,gp,13,trainval,0.903039074,1.060482074,2.549844981
energy,gp,13,test,0.844155844,1.06190749,3.047074936
energy,gp,14,trainval,0.901591896,1.066424729,2.549550148
energy,gp,14,test,0.87012987,1.067380163,2.943193807
energy,gp,15,trainval,0.903039074,1.087561954,2.600944676
energy,gp,15,test,0.883116883,1.086052615,2.699235952
energy,gp,16,trainval,0.903039074,1.075951881,2.568430535
energy,gp,16,test,0.844155844,1.075274598,2.98989476
energy,gp,17,trainval,0.89869754,1.080519177,2.602414575
energy,gp,17,test,0.909090909,1.081532484,2.646408258
energy,gp,18,trainval,0.901591896,1.054390323,2.556715808
energy,gp,18,test,0.857142857,1.054213494,2.928897047
energy,gp,19,trainval,0.900144718,1.062312747,2.544938764
energy,gp,19,test,0.857142857,1.063366846,3.056390043
kin8nm,gp,0,trainval,0.97233148,2.378329869,0.133570667
kin8nm,gp,0,test,0.970695971,2.375535804,0.133690127
kin8nm,gp,1,trainval,0.97192459,2.393441385,0.137122651
kin8nm,gp,1,test,0.963369963,2.396604162,0.142062884
kin8nm,gp,2,trainval,0.97233148,2.3563448,0.133800079
kin8nm,gp,2,test,0.971916972,2.355154194,0.137551565
kin8nm,gp,3,trainval,0.96785569,2.470355844,0.145215551
kin8nm,gp,3,test,0.965811966,2.469670977,0.146976796
kin8nm,gp,4,trainval,0.97382341,2.344548144,0.132446788
kin8nm,gp,4,test,0.970695971,2.346142682,0.132089385
kin8nm,gp,5,trainval,0.9742303,2.344806928,0.130491756
kin8nm,gp,5,test,0.968253968,2.343184659,0.138086102
kin8nm,gp,6,trainval,0.97260274,2.379446285,0.135751326
kin8nm,gp,6,test,0.965811966,2.379962141,0.136821968
kin8nm,gp,7,trainval,0.97382341,2.383047404,0.133875907
kin8nm,gp,7,test,0.981684982,2.383608922,0.132243494
kin8nm,gp,8,trainval,0.97463719,2.373758918,0.133660894
kin8nm,gp,8,test,0.975579976,2.374671285,0.129053863
kin8nm,gp,9,trainval,0.96812695,2.449858844,0.143065487
kin8nm,gp,9,test,0.964590965,2.448847326,0.147131045
kin8nm,gp,10,trainval,0.97056829,2.40092163,0.13924923
kin8nm,gp,10,test,0.982905983,2.39969961,0.133730645
kin8nm,gp,11,trainval,0.97206022,2.366888757,0.133844029
kin8nm,gp,11,test,0.975579976,2.36406704,0.13478122
kin8nm,gp,12,trainval,0.97233148,2.377348851,0.134223274
kin8nm,gp,12,test,0.967032967,2.375800493,0.134349331
kin8nm,gp,13,trainval,0.97124644,2.390148911,0.137413658
kin8nm,gp,13,test,0.965811966,2.39253038,0.138301986
kin8nm,gp,14,trainval,0.97246711,2.362490585,0.133641794
kin8nm,gp,14,test,0.970695971,2.361742317,0.134703402
kin8nm,gp,15,trainval,0.97233148,2.354726359,0.132850143
kin8nm,gp,15,test,0.974358974,2.353461589,0.134146976
kin8nm,gp,16,trainval,0.97409467,2.366813957,0.13289134
kin8nm,gp,16,test,0.975579976,2.369053183,0.13357188
kin8nm,gp,17,trainval,0.97300963,2.363889255,0.132969526
